unidad_construccion;codigo;clase;dominio_modelo_ladm
VIVIENDA HASTA 3 PISOS NPH;1;Residencial;Vivienda_Hasta_3_Pisos
ENRAMADAS O RAMADAS, CANEYES, COBERTIZOS, MOLIENDA.;2;Anexos ;Ramadas_Cobertizos_Caneyes
GALPONES, GALLINEROS;3;Anexos ;Galpones_Gallineros
ESTABLOS, PESEBRERAS,;4;Anexos ;Establos_Pesebreras_Caballerizas
COCHERAS, MARRANERAS, PORQUERIZAS;5;Anexos ;Cocheras_Marraneras_Porquerizas
BODEGA, CASA BOMBA TIPO Comercial O Industrial, DIFERENTE A PH;6;Comercial O Industrial NO Residencial, NI EN PH SEGÚN DESTINACIÓN ECONÓMICA;Bodega_Casa_Bomba
INDUSTRIAS;7;Industrial;Industrias
SILOS;8;Industrial;Silos
PISCINAS;9;Anexos;Piscinas
TANQUES;10;Anexos;Tanques
BENEFICIADEROS;11;Anexos;Beneficiaderos
COLEGIOS, ESCUELAS;12;Comercial;Colegio_y_Universidades
BIBLIOTECAS;13;Institucional E;Biblioteca
GARAJES;14;Comercial, HABITACIONAL O Institucional SEGÙN DESTINACION ECONÒMICA;Garajes_Cubiertos
BODEGAS ComercialES;16;Comercial;Bodegas_Comerciales_Grandes_Almacenes
SECADEROS;18;Anexos;Secaderos
HOSPITALES, CLINICAS, SANATORIO.;19;Comercial;Clinicas_Hospitales_Centros_Medicos
POZOS;20;Anexos;Pozos
KIOSKOS;21;Anexos;Kioscos
ALBERCAS, BAÑADERAS;23;Anexos;Albercas_Banaderas
HOTELES O MULTIPROPIEDAD EN PH;25;Comercial;Hoteles_en_PH
CORRALES.;26;Anexos;Corrales
CASA ELBAS;27;Residencial;Casa_Elbas
COMERCIO;28;Comercial;Comercio
IGLESIAS, CATEDRAL, PARROQUIA,;29;Institucional;Iglesia
HOTELES, MOTELES, HOSTALES.;31;Comercial;Hoteles
CLUBES SOCIALES, CASINOS DE OFICIALES;33;Institucional;Clubes_Casinos
OFICINAS, CONSULTORIOS;34;Comercial;Oficinas_Consultorios
APARTAMENTOS > 3 PISOS;35;Residencial;Apartamentos_4_y_mas_pisos
RESTAURANTE NO PH;36;Comercial;Restaurantes
PENSIONES, RESIDENCIAS.;37;Comercial;Pensiones_y_Residencias
PUESTO DE SALUD;38;Comercial O Institucional SEGÚN DESTINACION ECONOMICA;Puestos_de_Salud
PARQUEADEROS;39;Comercial, Institucional O HABITACIONAL SEGÙN DESTINACION ECONÒMICA;Parqueaderos
BARRACAS;40;Residencial O Institucional;Barracas
TEATROS, CINEMAS NO PH;41;Comercial;Teatro_Cinemas
AULAS DE CLASE;42;Comercial O Institucional SEGÚN DESTINACION ECONOMICA;Aulas_de_Clases
COLISEOS,;43;Comercial O Institucional SEGÚN DESTINACION ECONOMICA;Coliseos
CASAS DE CULTO, BODEGAS EN CULTO;44;Institucional;Casas_de_Culto
TALLERES;45;Industrial O Comercial SEGÙN DESTINACION ECONÒMICA;Talleres
JARDIN INFANTIL EN CASA;46;Comercial;Jardin_Infantil_en_Casa
TORRES DE ENFRIAMIENTO;47;Industrial;Torres_de_Enfriamiento
MUELLES;48;Anexos;Muelles
ESTACIONES DE BOMBEO;49;ComercialInstitucional SEGÚN DESTINACION ECONOMICA;Estacion_Bombeo
ESTADIO, PLAZA DE TOROS;50;ComercialInstitucional SEGÚN DESTINACION ECONOMICA;Plaza_de_Toros
CARCELES;51;Comercial O Institucional SEGÚN DESTINACION ECONOMICA;Carceles
PARQUE CEMENTERIO (osarios, cenizario, mausoleos, bóvedas);52;Comercial O Institucional SEGÚN DESTINACION ECONOMICA;Parque_Cementerio
VIVIENDA COLONIAL;53;Residencial;Vivienda_Colonial
COMERCIO COLONIAL;54;Comercial;Comercio_Colonial
OFICINAS, CONSULTORIOS COLONIAL;55;Comercial;Oficinas_Consultorios_Coloniales
APTOS EN EDIFICIOS 4 Y 5 PISOS (CARTAGENA);56;Residencial;Apartamentos_4_y_mas_pisos
CENTROS ComercialES;58;Comercial;Centros_Comerciales
CANCHAS DE TENIS;60;Anexos;Canchas_de_Tenis
TOBOGANES;62;Anexos;Toboganes
VIVIENDA RECREACIONAL;63;Residencial;Vivienda_Recreacional
CAMARONERAS;64;Anexos;Camaroneras
FUERTES Y CASTILLOS;65;Anexos;Fuertes_y_Castillos
MURALLAS;66;Anexos;Murallas
VIVIENDA HASTA 3 PISOS EN PH;70;Residencial;Vivienda_Hasta_3_Pisos_En_PH
APARTAMENTOS 4 Y MÀS PISOS EN PH;71;Residencial;Apartamentos_4_y_mas_pisos_en_PH
VIVIENDA RECREACIONAL EN PH;72;Residencial;Vivienda_Recreacional_En_PH
BODEGA CASA BOMBA EN PH;73;Industrial O Comercial SEGÙN DESTINACION ECONÒMICA;Bodegas_Casa_Bomba_en_PH
BODEGA Comercial EN PH;74;Industrial O Comercial SEGÙN DESTINACION ECONÒMICA;Bodegas_Comerciales_en_PH
COMERCIO EN PH;75;Comercial;Comercio_en_PH
CENTROS ComercialES EN PH;76;Comercial;Centros_Comerciales_en_PH
OFICINAS CONSULTORIOS EN PH;77;Comercial;Oficinas_Consultorios_en_PH
PARQUEADEROS EN PH;78;SOLO Comercial O HABITACIONAL SEGÙN DESTINACION ECONÒMICA;Garajes_En_PH
GARAJES EN PH;79;Comercial O SOLO HABITACIONAL SEGÙN DESTINACION ECONÒMICA;Garajes_En_PH
INDUSTRIA EN PH;80;Industrial;Industrias_en_PH
MONUMENTO INMUEBLES;81;OBRAS CULTURALES ADOSADAS AL SUELO;
MARQUESINAS- PATIOS CUBIERTOS;82;Anexos;Marquesinas_Patios_Cubiertos
LAGUNA DE OXIDACION;83;Anexos;Lagunas_de_Oxidacion
VIA FERREA;84;Anexos;Via_Ferrea
VIA - CARRETERA (excepto vía Férrea y avión);85;;
TEATRO-CINEMA EN PH;86;Comercial;Teatro_Cinemas_en_PH
IGLESIA EN PH;87;Industrial;Iglesia_en_PH
RESTAURANTE EN PH;88;Comercial;Restaurantes_en_PH
HOTEL COLONIA;89;Comercial;Hotel_Colonial
RESTAURANTE COLONIAL;90;Comercial;Restaurante_Colonial
ENTIDAD EDUCATIVA COLONIAL;91;"Comercial O
Institucional SEGÚN
DESTINACION
ECONOMICA";Entidad_Educativa_Colonial_Colegio_Colonial
CASETA EN ESPACIO PÚBLICO;92;Anexo;
DEPOSITO EN PH;93;Residencial, Comercial O Industrial;Depositos_Lockers
INVERNADERO;94;Anexo;
MOBILIARIO DE PISCINA;95;Anexo;
CIMIENTOS, ESTRUCTURAS, PILOTES, ZAPATAS, BERMAS, ANDENES, SARDINELES;99;Anexo;Cimientos_Estructura_Muros_y_Placa_Base
